web-scraper-order,web-scraper-start-url,titulo,descrip,precio
"1618890541-19870","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8","Casa en venta Jurica 3 habitaciones JGCC","**20-989**casa en condominio de 2 casas con espacios muy funcionales y con excelente estado de conservación. Cocina y closets remodelados. La cocina es de granito, con isla desayunador y hornos empotrados. Cuenta con piso de madera en sala comedor en excelente estado. En segundo piso cuenta con 3 recámaras con closet, la principal con baño completo propio y las otras dos comparten un baño. Amplio y acogedor","$ 3,320,000"
"1618890520-19820","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9","Casa en venta Jurica 5 habitaciones JGCC","**20-805**lujosa casa en villas regency de jurica, con una espectacular doble altura con grandes ventanales que le permite disfrutar al entrar del inigualable jardín. Cuenta con 4 recamaras más estudio con baño completo por lo que podría ser de 5 recamara. En la habitación principal podrá disfrutar de una gran terraza con vista al jardín y con acceso a área de oficina. Entre sus adicionales esta una alberca","$ 16,500,000"
"1618890675-20048","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2","Casa en venta Jurica 5 habitaciones JGCC","**20-2035**residencia en calle cerrada vigilancia en jurica, cuenta con alberca propia y amplio jardín con árboles. La casa cuenta con 5 habitaciones todas con baño completo, amplia estancia de sala con tapanco, comedor con terraza, antecomedor, sala de tv, cocina con amplia alacena, espacio anexo de entretenimiento con entrada por jardín con cocineta y baño completo, ideal para reuniones o depto. Para visita","$ 11,350,000"
"1618890631-19968","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4","En venta casa en jurica de 510 mts2 con 3 recamaras y 4 baños y alberca jpc","Casa remodelada con acabados de lujo, desarrollada en dos niveles con la siguiente distribucion: pb: cochera para cuatro autos al descubierto, vestibulo, sala, comedor, cocina, terraza, alberca, jardin, un baño completo, sala de t.v., recamara principal con vestidor y baño completo. Pa: sala de t.v., un baño completo, gimnasio, estudio, dos recamaras con baño completo de uso compartido","$ 13,500,000"
"1618890541-19851","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=8","Casa en venta Jurica 3 habitaciones JGCC","**21-1102**casa en venta en una de las mejores privadas de jurica, 3 recamaras amplias con closet, la principal tiene vestidor, cuarto de servicio con su baño completo con pasillo lateral para su entrada, tiene jardín amplio con pasto sintético. 3 baños completo, altura de 2.80mtrs, estacionamiento cerrado, con salón de usos múltiples, cuarto lavado techado, cocina super amplia equipada,","$ 6,200,000"
"1618890496-19803","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10","Casa en venta Jurica 5 habitaciones JGCC","**20-805**lujosa casa en villas regency de jurica, con una espectacular doble altura con grandes ventanales que le permite disfrutar al entrar del inigualable jardín. Cuenta con 4 recamaras más estudio con baño completo por lo que podría ser de 5 recamara. En la habitación principal podrá disfrutar de una gran terraza con vistas al jardín y con acceso a área de oficina. Entre sus adicionales esta una alberca","$ 16,500,000"
"1618890631-19975","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=4","Casa en Venta nueva en Jurica, Queretaro con alberca, 4 recamaras y jacuzzi","En venta preciosa casa dentro de jurica queretaro, lista para estrenar diseñada de reconocido arquitecto.  La casa cuenta con 4 recamaras, 4 baños, estudio, sala de tv, cava, sala, comedor, cocina equipada.  Cuenta con cuarto de servicio, area de juegos, jardin de 250 m2, cascada, alberca, jacuzzi, estacionamiento para dos autos.  Avance 80% entrega en 2 meses.  Pregunta y conocela, sera un placer atenderte.   Vo1176et  Informes agente inmobiliario erendira tinajero","$ 12,900,000"
"1618890675-20031","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2","CASA en venta con jardin y cuarto de servicio en privada, en JURICA Queretaro","Casa en venta con jardin y cuarto de servicio en privada, en jurica queretaro","$ 5,500,000"
"1618890653-19997","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3","CASA EN VENTA DENTRO DE JURICA, QUERETARO EN CONDOMINIO","Hermosa casa colonial mexicano con bóvedas catalanas, piso de parquet, techos a doble altura en dos aguas con vigas de madera y amplios espacios. La distribucion de la casa es: En planta baja: cocina, desayunador, sala, comedor y dos recamaras secundarias con parquet, baño compartido, baño de visitas y, chimenea. En planta alta, recámara principal con vestidor y baño, con vista a paseo jurica y estudio o sala de usos multiples Todas las ventanas dan a area verde. Jardin 14x10m, estacionamiento para 2 autos automatico, cisterna 10,000 lts, riego por aspersion, hidroneumatico y cuarto de servicio completo. Antigüedad 25 años, recien remodelada, mamposteo de 1.80 m Vo1721mm/si","$ 7,500,000"
"1618890608-19948","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=5","Casa en venta Jurica 1 planta Remodelada Preciosa","Hermosa residencia en paseo jurica antes de la iglesiaCerca de centros comerciales, escuelas, hospitales y todos los serviciosLa casa tiene excelente distribución es muy cómoda, espacios amplios muy luminosa con acabados de lujoUna ventaja que tiene la casa es que en cualquier lugar tiene vista increíbleEn la entrada tiene un jardín con una cascada que tiene un circuito de aguaLlena de árboles, palmeras y la jardinería es de diseñoLa casa la acaban de remodelar completamente por lo que todo es nuevo y de la mejor calidadLa iluminación es maravillosa","$ 13,000,000"
"1618890564-19895","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=7","¿Lujoso, Seguro, Amplio Jardín Y 5 Dormitorios? La Perfecta Opción!","*Rahqro 20-805* lujosa casa en villas regency de jurica, con una espectacular doble altura con grandes ventanales que le permite disfrutar al entrar del inigualable jardín. Cuenta con 4 recamaras mas estudio con baño completo por lo que podría ser la 5 recamara. En la habitación principal podrás disfrutar de una gran terraza con vista al jardín y con acceso a área de oficina. Entre sus adicionales esta una alberca.- importante: pedir información del inmueble con el código marcado con ""**"".","$ 16,500,000"
"1618890699-20074","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=1","VENTA DE CASA EN JURICA","EXCELENTE UBICACION CERCA DE ESCUELAS, PLAZA COMERCIAL  Y BANCARIA. CASA CON AMPLIOS  Y COMODOS ESPACIOS , SALON DE JUEGOS, CANTINA, BODEGA Y CUARTO DE LAVADO. EasyBroker ID: EB-CN4193","$ 10,000,000"
"1618890475-19768","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11","Casa con espacios funcionales en Jurica de 235 mts2! RCS","*Rcs 20-989* casa en condominio de 2 casas con espacios muy funcionales y con excelente estado de conservación. Cocina y closets remodelados. La cocina es de granito, con isla desayunador y hornos empotrados. Cuenta con piso de madera en sala comedor en excelente estado. En segundo piso cuenta con 3 recámaras con closet, la principal con baño completo propio y las otras dos comparten un baño. Amplio y acogedor. No se comparte entre 3 corredores.- importante: pedir información del inmueble con el código marcado con ""**"".- previa cita.","$ 3,320,000"
"1618890431-19704","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13","Casa en venta Jurica 3 habitaciones JGCC","**20-1718**Casa remodelada con acabados de lujo, desarrollada en dos niveles con la siguiente distribución: PB: cochera para cuatro autos al descubierto, vestíbulo, sala, comedor, cocina, terraza, alberca, jardín, un baño completo, sala de t.v., recamara principal con vestidor y bano completo. PA: sala de t.v., un bano completo, gimnasio, estudio, dos recamaras con bano completo de uso compartido","$ 11,350,000"
"1618890475-19784","https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=11","Villa en Venta en el Club Regency Jurica Queretaro","Descripcion casa venta en el  regency jurica Hermosa casa con excelentes acabados, en privada con vigilancia 24 hrs. Esta diseñada en 4 pisos, en el sotano, esta la cochera para 8 autos, cuarto de servicio, cuarto de lavado y bodega. En el primer piso,  sala, comedor, medio baño, bar con cava, terraza, jardin y medio baño para el area del jardin, cocina equipada con desayunador en el 2do piso, son 4 recamaras cada una con su baño, sala de television, el el tercer piso hay un salon familiar, con medio baño, estudio y terraza con jacuzzi.  Tiene cisterna, elevador, riego por aspersion Area de construccion: 940 mt2  area de terreno: 850 mt2 Inversion: $21,500,000.00  Con excelente ubicacion cerca de escuelas, centros comerciales (antea), hospitales, restaurantes, club deportivos y todos los servicios","$ 21,500,000"
