web-scraper-order,web-scraper-start-url,descrip,precio
1616367922-2161,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367754-1898,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1616367817-1989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,RENTA CASA RESIDENCIAL REFUGIO,"$14,000"
1616367796-1973,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Hermosa y cómoda casa de tres habitaciones en El Refugio,"$14,000"
1616367775-1946,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,RENTA CASA AMUEBLADA  EN TORRE DE PIDRA PROVIDENCIA QUERETARO,"$15,000"
1616367650-1746,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta en Juriquilla con cuarto de servicio,"$15,000"
1616367650-1765,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Excelente casa en renta en Juriquilla,"$15,000"
1616367650-1749,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta - Juriquilla - en Privada,"$28,000"
1616367796-1974,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa en renta amueblada El Refugio,"$14,500"
1616367901-2131,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Amplia casa en renta EL Refugio,"$14,000"
1616367608-1711,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Exclusivo Fraccionamiento a un lado de Hacienda El Campanario,"$33,000"
1616367629-1713,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Amplia casa de 3 recamaras, sala de TV, cuarto de servicio, jardín con sombrilla","$13,900"
1616367713-1861,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa en Renta Juriquilla,"$13,500"
1616367650-1767,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en renta Los Naranjos Juriquilla,"$13,000"
1616367943-2187,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,"CASA EN RENTA CH EN VIDARA, RESIDENCIAL EL REFUGIO, QUERÉTARO","$9,000"
1616367567-1634,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,Casa amueblada en renta en el Mirador de 3 recámaras con estudio 20-1051,"$25,000"
1616367629-1730,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA EN RENTA,"$15,000"
1616367817-2003,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,CASA EN VENTA TORRE DE PIEDRA REFUGIO,"$18,900"
1616367650-1755,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,CASAS RENTA QUERÉTARO JURIQUILLA JARDINES DE JURIQUILLA,"$15,500"
1616367713-1845,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"Casa moderna en renta, Valle de Juriquilla","$19,500"
1616367629-1720,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Rento casa Milenio, 4 recamaras, 5 baños, estudio PB, Roof, amplios espacios","$15,000"
1616367817-1985,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Casa sin amueblar en El Refugio de 3 niveles! GOC 20-2531,"$15,000"
1616367734-1875,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,JURIQUILLA RENTA DEPARTAMENTO 3 RECAMARAS / ATELIER,"$12,500"
1616367754-1897,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1616367734-1871,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"C206 Monisima casa amueblada o sin amueblar, jacuzzi, priv. vig 24 Excelente $","$15,000"
1616367943-2178,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa renta Querétaro el Refugio Hermosa casa  zona en expansión con plusvalía,"$10,000"
1616367901-2123,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en privada con vigilancia 24 horas y 3 dormitorios! RAHQRO,"$13,000"
1616367754-1915,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta en El Refugio,"$11,500"
1616367734-1865,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,EXCELENTE CASA EN RENTA EN SAN ISIDRO JURIQUILLA,"$10,500"
1616367775-1923,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,Hermosa y cómoda casa de tres habitaciones en El Refugio.,"$14,000"
1616367608-1685,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Casa en renta Milenio 3 habitaciones JRH,"$16,000"
1616367754-1916,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en El Refugio de 124 mts2 y sala de televisión! GOC,"$11,500"
1616367546-1603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn,Se Renta casa en El Campanario,"$65,000"
1616367859-2053,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en El Refugio con Variadas Amenidades - Renta,"$14,000"
1616367754-1896,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta con finos acabados y pisos de porcelanato en El Refugio YCC,"$2,516,000"
1616367629-1719,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,Casa amoblado en El Milenio III de 240 mts2 y 3 dormitorios! ATC,"$16,000"
1616367567-1639,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,"Álamos 3a Sección, Querétaro","$11,500"
1616367754-1917,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367650-1768,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Rento casa en Jardines de Juriquilla,"$15,000"
1616367901-2110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta,"$15,000"
1616367671-1794,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa en Renta con recamara en planta baja,"$35,000"
1616367796-1971,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Amplia casa en renta de 3 recamaras y sala de TV en el Refugio,"$12,000"
1616367629-1717,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,Hermosa casa en El Milenio con Roof Garden y excelente diseño! GOC,"$23,000"
1616367943-2186,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Rento en el refugio casa de 2 niveles con buenas amenidades 3 recamaras y 4 baño,"$13,000"
1616367713-1835,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,RENTA CASA AMPLIA VALLE DE JURIQUILLA 3 RECAMARAS CERCA HOSPITALES ESCUELAS,"$15,000"
1616367943-2191,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Hermosa Casa en Renta en El Refugio,"$12,000"
1616367838-2025,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en RENTA en Paseo Junipero con ALBERCA,"$11,000"
1616367713-1841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"Casa en Villas del Meson Juriquilla 4 recs y cuarto de servicio en renta, Qro.","$29,000"
1616367713-1850,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"CASA EN RENTA, FRACCIONAMIENTO ALENAS, JURIQUILLA, QRO.","$19,000"
1616367796-1977,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa amueblada de tres recamaras en el Refugio,"$19,000"
1616367775-1940,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,"Casa en Renta, Privada Dolceterra, Refugio","$14,500"
1616367713-1846,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa - Juriquilla,"$32,000"
1616367943-2188,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa en Renta en El Refugio,"$14,000"
1616367838-2014,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Renta casa en El Refugio-LC,"$12,500"
1616367754-1906,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Amplia casa en renta de 3 recamaras en El Refugio 21-2093JVE,"$15,500"
1616367629-1714,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"CASA EN RENTA, MILENIO III, QUERETARO","$8,700"
1616367901-2128,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367587-1671,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta El Mirador 3 habitaciones AVH,"$11,500"
1616367838-2013,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Hermosa casa en renta en El Refugio de 3 recámaras 20-1606,"$13,000"
1616367629-1716,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,RENTA CASA MILENIO CALLE ABIERTA,"$13,000"
1616367713-1852,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa en Renta en Privada con cochera techada,"$15,000"
1616367838-2035,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,"El Refugio, casa en renta con excelente ubicación a pie de calle. FVR","$13,500"
1616367587-1665,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en el mirador amoblada y equipada con 3 dormitorios y 125 mts2! Rahqro,"$25,000"
1616367880-2078,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en El Refugio de 3 dormitorios y 164 mts2! RAHQRO,"$13,000"
1616367859-2055,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Bonita casa en privada en el Refugio con vigilancia 24x7 con Gimnasio y  Alberca,"$12,500"
1616367859-2050,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa de 3 Recámaras en Renta Dentro de Privada en El Refugio SRM 21-3240,"$12,500"
1616367880-2084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en El Refugio de 4 dormitorios y 188 mts2! GOC 20-889,"$16,000"
1616367943-2168,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa en Venta en el Refugio,"$13,000"
1616367692-1814,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,"Casa en condominio en Renta, en Juriquilla, Querétaro","$12,000"
1616367817-2004,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,"Casa en Renta Palazzo, El Refugio","$14,900"
1616367859-2042,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,RENTA CASAS - EL REFUGIO - QUERETARO,"$17,500"
1616367587-1677,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Se renta casa de 3 recamaras  3 baños en el mirador buena ubicacion,"$12,000"
1616367754-1905,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa con buena ubicación a pie de calle en El Refugio de 164 mts2! GOC,Contactar agente para saber precio
1616367838-2027,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa en El Refugio con amenidades. 3 recamaras y sala de TV.,"$11,000"
1616367608-1696,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Amplia casa en Loma Dorada con Roof Garden y de 350 mts2! RAHQRO,"$23,000"
1616367880-2096,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta en Alanna el Refugio 3 recamaras,"$13,000"
1616367629-1741,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,"Milenio 3era Sección, Amplia Casa en Renta","$18,000"
1616367629-1723,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,RENTA DE CASA EN MILENIO QRO,"$16,000"
1616367734-1869,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,"RENTA 4 RECAMARAS, 1 EN PLANTA BAJA, FRACC. ALTOS JURIQUILLA","$15,000"
1616367859-2046,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
1616367796-1972,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,"Casa en renta El Refugio, Querétaro, amueblada 3 recámaras, estudio","$13,000"
1616367817-1992,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Renta - Condominio con Amenidades en El refugio,"$13,000"
1616367838-2029,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,SE RENTA CASA EN EL REFUGIO,"$10,000"
1616367546-1615,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn,BONITA CASA EN VENTA,"$9,000,000"
1616367901-2130,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa sin amoblar en El Refugio de 3 dormitorios y 164 mts2! GOC,"$13,500"
1616367754-1899,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,RENTA EN EL REFUGIO,"$11,000"
1616367713-1844,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa Amueblada en renta en Juriquilla Queretaro Condominio Mayoral 2 con Jardin,"$13,500"
1616367922-2148,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,Casa en renta El Refugio 3 habitaciones AVH,"$14,000"
1616367713-1849,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Juriquilla - Casa en RENTA. Condominio con control de acceso,"$18,000"
1616367880-2091,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Se Renta Casa en El Refugio Querétaro,"$12,000"
1616367880-2077,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa sin amueblar de 3 dormitorios y cocina integral con desayunador! RCS,"$13,000"
1616367796-1968,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa en renta El Refugio 3 habitaciones JRH,"$14,000"
1616367671-1801,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa moderna en Juriquilla amueblada con Roof Garden! RAHQRO,"$22,000"
1616367692-1823,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa - Juriquilla,"$27,000"
1616367587-1666,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa Duplex En Renta En El Mirador GPS,"$12,000"
1616367943-2180,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=1,Casa en renta en Bojai Traventino en el Refugio Queretaro,"$12,000"
1616367734-1879,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Casa en Renta en Juriquilla,"$13,000"
1616367796-1960,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=8,Casa en Renta en el Refugio 3 recamaras excelentes amenidades YCC,"$12,600"
