web-scraper-order,web-scraper-start-url,desc_dep,precio_depa,pre
1615701694-15305,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamento en renta estilo Loft en Juriquilla Querétaro.,"$12,000",12000
1615701626-15063,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,Departamento amueblado y equipado con una gran vista y excelente ubicación,"$14,000",14000
1615701729-15416,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,DEPARTAMENTO EN RENTA O VENTA EN JURIQUILLA TRES VISTAS,"$21,000",21000
1615701776-15560,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,"Casa en renta ,3 recamaras en El Refugio YCC","$13,000",13000
1615701776-15568,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,LUJOSO DEPARTAMENTO EN RENTA NATUUR EL REFUGIO,"$16,500",16500
1615701636-15093,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,DEPARTAMENTO EN RENTA EN CAMPANARIO ÉLITE,"$18,000",18000
1615701776-15582,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,DEPARTAMENTO EN RENTA CERCA DE RESIDENCIAL EL REFUGIO,"$11,000",11000
1615701713-15375,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento en Renta a Estrenar en Juriquilla,"$16,000",16000
1615701676-15236,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"Renta de Departamento en condominio en Real de Juriquilla, Qro.","$20,000",20000
1615701626-15065,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=3,"DEPARTAMENTO EN VENTA O RENTA EN  TEIDE RESIDENCIAL, CON VISTA A LA CIUDAD","$23,600",23600
1615701636-15107,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento amueblado  en renta en Adamant, Campanario","$13,000",13000
1615701636-15086,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Departamento sin amueblar en El Campanario de 76 mts2! RCS,"$25,000",25000
1615701738-15454,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Habitarea Towers Departamento Amueblado,"$23,000",23000
1615701720-15402,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Lomelin BR | DEPARTAMENTO AMUEBLADO | 3 HABITACIONES | HABITAREA TOWERS JURIQUILLA,"$22,500",22500
1615701720-15394,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,HERMOSO DEPARTAMENTO AMUEBLADO EN RENTA UBICADO EN JURIQUILLA TOWERS !!,"$30,000",30000
1615701668-15209,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,Departamento en renta El Mirador 1 habitación AVH,"$9,500",9500
1615701766-15535,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,RENTA DEPARTAMENTO EN JURIQUILLA TOWERS LL,"$20,000",20000
1615701685-15259,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,RENTA DEPARTAMENTO EN AMBAR TOWER JURIQUILLA,"$18,000",18000
1615701668-15202,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,Se renta departamento de 2 recamaras y 2 baños en area del mirador jpc 201961.,"$11,500",11500
1615701785-15616,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Monte Miranda exclusivo departamento de 3 recamaras y 117 mts2!,"$22,000",22000
1615701636-15110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Renta departamento amueblado Adamant Queretaro,"$19,000",19000
1615701738-15449,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,DEPARTAMENTO AMUEBLADO Y EQUIPADO EN RENTA JURIQUILLA QUERETARO,"$24,500",24500
1615701747-15497,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,RENTA PENTHOUSE AMUEBLADO 4 RECAMARAS EN JURIQUILLA SANTA FE,"$100,000",100000
1615701636-15097,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,Bello departamento en renta en El Campanario OFP 20-245,"$20,500",20500
1615701694-15307,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Ph juriquilla towers,"$42,000",42000
1615701694-15290,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,RENTA DEPARTAMENTOS AMUEBLADOS QUERETARO JURIQUILLA ATELIER  AA,"$28,000",28000
1615701685-15283,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento en Renta. Juriquilla. FVR,"$20,000",20000
1615701785-15602,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,Departamento en Renta en Residencial el Refugio,"$12,000",12000
1615701660-15180,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2,Departamento en renta El Mirador 2 habitaciones JGCC,"$11,500",11500
1615701652-15165,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=3,Departamento en renta El Mirador 2 habitaciones JGCC,"$11,500",11500
1615701685-15269,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,Departamento - Juriquilla,"$19,800",19800
1615701713-15351,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento Amueblado en Renta en Juriquilla Queretaro,"$24,000",24000
1615701713-15374,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,BIOSFERA TOWERS Amueblado torre A dos recamaras,"$20,000",20000
1615701738-15456,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento en renta en Náutico Juriquilla,"$12,500",12500
1615701676-15254,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,RENTA DEPARTAMENTO EN GRAN RESERVA JURIQUILLA,"$13,000",13000
1615701652-15141,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=3,Departamento en renta El Mirador 2 habitaciones JGCC,"$11,500",11500
1615701747-15479,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Departamento - Juriquilla,"$38,500",38500
1615701652-15156,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=3,Departamento a estrenar en El Mirador de 2 dormitorios! GOC,"$15,000",15000
1615701720-15385,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,RENTA DEPARTAMENTOS - VALLE DE JURIQUILLA - QUERETARO,"$17,500",17500
1615701756-15520,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,"Juriquilla, lindo departamento en renta. FVR","$13,500",13500
1615701643-15139,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,Departamento sin amoblar en renta de 120 mts2 en El Campanario! RAHQRO,"$29,000",29000
1615701676-15239,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,Departamento - Juriquilla,"$16,000",16000
1615701685-15279,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,VENTA  DE DEPARTAMENTO EN BIOSFERA TOWERS JURIQUILLA,"$3,100,000",3100000
1615701676-15242,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"Departamento en Renta, en Juriquilla, Querétaro","$14,000",14000
1615701729-15431,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,DEPARTAMENTO EN RENTA EN JURIQUILLA,"$16,000",16000
1615701766-15529,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"Renta Departamento, 3 recamaras amenidades, Biosfera Towers Juriquilla Queretaro","$15,500",15500
1615701668-15200,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,Departamento en renta El Mirador 1 habitación JRH,"$9,500",9500
1615701738-15447,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento en renta en Juriquilla Querétaro con hermosa vista,"$20,000",20000
1615701643-15125,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,RENTA DEPARTAMENTO ELITE EL CAMPANARIO QUERETARO,"$18,000",18000
1615701694-15289,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,"Departamentos en venta Wise Living Cañada, Querétaro","$30,000",30000
1615701738-15461,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Fray Junipero Departamento a estrenar de 2 recamaras! RAHQRO,"$17,000",17000
1615701676-15247,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,DEPARTAMENTO en RENTA Amueblado  Juriquilla  con Terraza Moderno,"$16,900",16900
1615701652-15144,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=3,Departamento en renta El MIrador 2 habitaciones JGCC,"$11,500",11500
1615701747-15492,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,DEPARTAMENTO en RENTA en Juriquilla Queretaro 3 recámaras y amenidades,"$16,500",16500
1615701643-15128,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,RENTA  DE DEPARTAMENTO AMUEBLADO Y EQUIPAD EN SIERRA AZUL,"$27,000",27000
1615701703-15341,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,"DEPARTAMENTO LOFT EN RENTA AMUEBLADO, EN JURIQUILLA, 2 RECAMARAS 160 M2","$27,000",27000
1615701738-15467,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,Departamento tipo dúplex en Altos de Juriquilla sin amueblar! RAHQRO,"$14,500",14500
1615701713-15361,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,*EX-1183* Departamento en Juriquilla con 2 dormitorios y amueblado! JGJ,"$22,000",22000
1615701660-15174,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=2,Departamento en renta El Mirador 2 habitaciones JRH,"$15,000",15000
1615701729-15434,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Un departamento especial que te está esperando - Biósfera Towers,"$22,000",22000
1615701703-15322,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Departamento en Renta JURIQUILLA Querétaro LIFE 3 habitaciones y con amenidades,"$19,000",19000
1615701713-15376,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento en Renta en BIOSFERA TOWERS JURIQUILLA,"$27,000",27000
1615701668-15210,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,Negociable departamento sin amueblar de 2 recamaras!,"$12,500",12500
1615701729-15411,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,Departamento - Juriquilla,"$20,000",20000
1615701643-15114,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,DEPARTAMENTO EN RENTA EN SIERRA AZUL QUERÉTARO,"$23,000",23000
1615701713-15360,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,Departamento amueblado en Renta Cantalagua Juriquilla,"$22,000",22000
1615701652-15150,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=3,Centrico depa amueblado en el Mirador cerca de la zona comercial JF,"$11,500",11500
1615701643-15118,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,"Departamento en renta en la Reserva el Campanario, c. 170 m2","$25,000",25000
1615701756-15527,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=2,"SE RENTA DEPA EN JURIQUILLA, QUERÉTARO","$12,500",12500
1615701747-15484,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=3,Renta. Departamento con Jardín en Planta Baja - Juriquilla,"$9,500",9500
1615701694-15297,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamento en Fray Junipero Serra con vista hacia jardín central! GOC,"$7,000",7000
1615701720-15398,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=6,Renta Departamento Amueblado En Juriquilla Santa Fe  1 Dormitorio,"$22,500",22500
1615701776-15574,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=3,HERMOSO DEPARTAMENTO NUEVO EN RENTA AMUEBLADO UBICADO EN ALTERA TOWERS !!,"$17,500",17500
1615701668-15205,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?page=1,Departamento a estrenar sin amoblar en El Mirador de 85 mts2! GOC,"$15,000",15000
1615701685-15281,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"Departamento en Renta Semi amueblado en Juriquilla, dos recámaras","$13,900",13900
1615701766-15536,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"RENTA/VENTA DE EXCLUSIVO DEPARTAMENTO JURIQUILLA, WISE LIVING GPS INMOBILIARIA","$21,000",21000
