web-scraper-order,web-scraper-start-url,descrip,precio
1615707939-16903,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=2,"Impecable mantenimiento de dos niveles, Casa en El Refugio sin amueblar! RCS","$13,500"
1615707835-16641,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,Casa Amueblada en renta para ejecutivo en Santa Fe juriquilla Quertaro,"$17,000"
1615707743-16332,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn%2F%3Fpage%3D3,Renta hermosa residencia en El Campanario con vista al campo de golf,"$90,000"
1615707802-16504,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Renta de Casa de Lujo en Santa Fe Juriquilla Queretaro,"$26,000"
1615707766-16434,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,VENTA CASA ALAMOS 1a.,"$19,000"
1615707743-16323,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn%2F%3Fpage%3D3,Casa en Renta en EL CAMPANARIO RESIDENCIAL,"$65,000"
1615707828-16602,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,renta de casa en Valle de Juriquilla con amenidades,"$14,000"
1615707926-16858,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,"Casa en renta condominio La Cima, el Refugio Querétaro con excelente iluminación","$15,500"
1615707845-16663,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en Fracc. El Refigio Qro.  CMC #20-1606,"$13,000"
1615707750-16363,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=2,Hermosa casa en renta El MIrador.LC,"$11,500"
1615707758-16402,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-rent/?page=1,Casa en renta con 3 recamaras en el Mirador Provenza YCC,"$10,500"
1615707811-16554,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa renta amueblada / sin en Valle de Juriquilla a 5 minutos de Antea Queretaro,"$18,000"
1615707785-16467,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,LOCALES EN RENTA Y VENTA SAN ISIDRO JURIQUILLA QRO,$250
1615707774-16458,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,Casa de tres niveles en Milenio III con 3 dormitorios y 300 mts2! JGJ,"$15,000"
1615707862-16682,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=9,Casa amueblada en Torre de Piedra el Refugio,"$20,000"
1615707820-16564,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,Casa en Renta Querétaro San Isidro Juriquilla dentro de condominio privado,"$10,500"
1615707743-16325,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn%2F%3Fpage%3D3,Casa en Renta El Campanario,"$56,000"
1615707916-16841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Amplia casa en renta en El Refugio,"$12,500"
1615707886-16740,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Casa sin amueblar en El Refugio de 3 niveles! GOC 20-2531,"$15,000"
1615707811-16540,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa en Renta  SAN ISIDRO JURIQUILLA Querétaro 2 habitaciones cada una con baño,"$8,500"
1615707835-16626,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=1,RENTA O VENTA CASA AMUEBLADA EN CUMBRES DEL LAGO JURIQUILLA,"$35,000"
1615707820-16581,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=3,"Casa en renta en privada Hacienda Juriquilla Santa Fe, Querétaro","$19,000"
1615707916-16838,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta El Refugio 3 habitaciones JRH,"$15,000"
1615707896-16786,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,SE RENTA CASA EN EL REFUGIO,"$10,000"
1615707743-16324,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-rent/?currency=mxn%2F%3Fpage%3D3,Venta casa de lujo hacia fairway en el campanario Querétaro,"$99,000"
1615707845-16651,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,RENTA EN EL REFUGIO,"$11,000"
1615707886-16760,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=7,Casa en renta en EL Refugio OFP 20 2631,"$14,000"
1615707774-16445,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=1,CASA DUPLEX AMUEBLADA EN MILENIO lll INCLUYE SERVICIOS,"$17,000"
1615707907-16822,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=5,"Casa en El Refugio, condominio con variedad de amenidades! RAHQRO 19-2439","$14,000"
1615707845-16662,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=10,Casa en renta El Refugio 3 habitaciones JRH,"$12,500"
1615707766-16420,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,Amplia casa en renta ubicada en Loma Dorada con 3 dormitorios y 350 mts2! RAH,"$23,000"
1615707916-16829,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa sin amoblar en El Refugio de 3 dormitorios y 164 mts2! GOC,"$13,500"
1615707828-16615,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,Casa a estrenar en Juriquilla sin amueblar de 190 mts2! RCS,"$18,700"
1615707802-16509,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,*PRECIOSA RESIDENCIA EN RENTA PARA GUSTOS EXIGENTES UBICADA EN JURIQUILLA,"$55,000"
1615707802-16496,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=5,Casa en Renta Amueblada Santa Fe Juriquilla 2 Caprichos,"$34,000"
1615707828-16605,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=2,"CASA  RENTA EN JURIQUILLA, EXCELENTE ILUMINACIÓN JARDIN 3 RECS CUARTO SERVICO","$30,000"
1615707926-16878,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,Casa en El Refugio de 2 dormitorios y sala de televisión! GOC,"$11,000"
1615707766-16431,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-rent/?page=2,CASA EN RENTA LOMA DORADA,"$27,000"
1615707926-16855,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=3,"Casa en el refugio de 3 dormitorios, amenidades y 129 mts2! Rahqro","$13,500"
1615707896-16769,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=6,Casa de 3 Recámaras en Renta Dentro de Privada con Amenidades en El Refugio SRM,"$12,500"
1615707785-16483,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=6,"Casa en Renta Amueblada en Punta Juriquilla, Quererato | GPS","$22,000"
1615707811-16544,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-rent/?page=4,Casa - Juriquilla,"$14,000"
1615707916-16836,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-rent/?page=4,Casa en renta El Refugio 3 habitaciones JGCC,"$12,500"
