web-scraper-order,web-scraper-start-url,titulo,precio,metros
1620528333-12853,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=4,Venta de Terreno con Uso de Suelo Mixto en El Refugio SRM 21-25,"$8,123,280",4000
1620528119-12205,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=5,"El Campanario, extraordinario terreno residencial para la venta. FVR","$6,900,000",653
1620528213-12512,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=10,Cumbres del Lago Terreno en Venta,"$2,271,050",454
1620528311-12771,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=1,"Se Vende Terreno en San Isidro Juriquilla, 163 m2, Libre de Gravamen.-","$688,200",163
1620528157-12328,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=1,"EXCELENTE TERRENO EN VENTA, PARA INVERSIONISTAS, EN LA MEJOR ZONA DE QUERÉTARO!!","$30,381,000",3197
1620528129-12236,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/terreno/for-sale/?&page=4,TERRENO EN VENTA EN EL CAMPANARIO QUERÉTARO,"$8,200,000",747
1620528301-12768,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/terreno/for-sale/?&page=2,Terreno en preventa dentro de fraccionamiento con lago! GOC 19-2299,"$320,000",128
1620528333-12838,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/terreno/for-sale/?&page=4,Terreno en El Refugio de 726 mts2! RAHQRO 20-798,"$6,467,523",726
1620528175-12407,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=3,"2 TERRENOS EN VENTA SENDERO DEL VITRAL,$9,900. EL M2.","$6,221,754",628
1620528184-12430,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/terreno/for-sale/?&page=2,Terreno con Autorización para Construir 16 Departamentos  en Querétaro CMC20-431,"$10,597,500",2355
