web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,mconstruidos
1620518438-1983,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=5,Jurica Casa en Venta,"$5,950,000",3,597
1620518917-2999,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=51,Casa en Bio Grand Juriquilla,"$2,749,000",3,205
1620519533-4585,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=37,VENTA CASAS - EL REFUGIO - QUERETARO,"$4,600,000",3,230
1620518677-2504,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=7,Hermosa Casa en El Mirador en Venta,"$2,450,000",3,150
1620518322-1586,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=2,"Hermosa Residencia en La Condesa Juriquilla, 4ta Recámara en P.B, Jardín, LUJO!","$4,100,000",4,255
1620519838-5559,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=5,"KL/ ESTRENA CASA  EN PRIVADA Y CON ROOF GARDEN. EL REFUGIO, QRO.","$2,700,000",3,228
1620519533-4598,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=37,EL REFUGIO CASA DE LUJO CON 3 RECAMARAS ESTUDIO JARDIN ENORME ROOF GARDEN,"$5,290,000",3,261
1620519005-3204,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=44,Casa en Altos de Juriquilla de 209 mts2 y 4 dormitorios! RAHQRO,"$3,598,000",4,209
1620518393-1838,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?&page=10,RESIDENCIA JURICA CON ALBERCA MUY AMPLIA E ILUMINADA 5 REC Y JARDÍN,"$8,500,000",5,525
1620519117-3472,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=35,Preciosa Casa en Venta con Habitación en planta baja,"$3,550,000",4,217
1620519341-4088,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=15,"Casa en Venta en Balcones de Juriquilla, dentro de privada con alberca.","$7,350,000",3,340
1620518949-3084,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=48,VENTA DE CASA EN  TORRE DE PIEDRA JURIQUILLA,"$4,164,908",3,243
1620518234-1290,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=12,CASA  EN  VENTA EN CUMBRES DEL LAGO R-1002,"$3,850,000",4,215
1620519180-3660,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=29,Casa en venta en privada con amplios espacios,"$2,550,000",3,129
1620519846-5575,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=4,"Hermosa Casa en El Refugio, 3 Recamaras, 2.5 , Casa Club, Alberca, GANALA !","$2,000,000",3,136
1620518258-1374,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=9,Casa en Cumbres del Lago de 3 recamaras con vestidor y ! RAHQRO,"$5,220,000",3,311
1620519790-5395,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=10,"19-246 Casa con excelentes amenidades, seguridad 24/7 y 268 mts2! ATC","$3,718,000",4,268
1620518875-2897,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=3,CASA EN VENTA MILENIO III   (OPCION DE 5a  RECAMARA),"$2,850,000",4,260
1620519697-5089,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=20,Casa en venta en El Refugio OFP 20 2056,"$2,600,000",3,164
1620518624-2400,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=10,Casa en Venta en EL MIRADOR,"$3,400,000",4,235
1620519129-3496,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=34,CASA VENTA JURIQUILLA QUERETARO CON ROOF GARDEN,"$2,530,000",3,190
1620519160-3588,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=31,Altos de Juriquilla casa a estrenar de 3 recamaras más estudio!,"$3,625,000",3,205
1620518657-2463,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?&page=8,Venta de hermosa y amplia casa en esquina 4  3 Bañ. en El Mirador JF,"$5,000,000",4,311
1620519819-5485,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=7,Casa en venta El Refugio 3 habitaciones JRH,"$2,340,000",3,131
1620519220-3782,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=25,Casa a Estrenar en Venta en Juriquilla,"$4,290,000",3,222
1620518340-1640,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?&page=3,Centro Sur - hermosa casa en una de las mejores zonas para vivir,"$5,200,000",3,300
1620519726-5184,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=17,Casa en venta en El Refugio # 20-747 JL,"$3,587,200",3,213
1620518875-2924,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=3,"Exclusividad, Comfort, Cercanía y Seguridad en un Mismo Lugar! Oportunidad","$2,970,000",3,150
1620518191-1146,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?&page=17,ESTRENA HERMOSA CASA  440M2 EN CUMBRES DEL LAGO JURIQUILLA,"$6,500,000",4,441
1620518818-2826,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?&page=6,Casa en venta Milenio 4 habitaciones JGCC,"$4,750,000",4,290
1620519258-3901,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?&page=21,"Casa NUEVA 3 Recamaras y Family Room, Privada con Seguridad y Alberca $3,954,000 Juri...","$3,954,000",3,215
1620519763-5313,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=13,Casa en Venta en Calle Monte Elbruz 201729 JL,"$2,950,000",3,191
1620519810-5465,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?&page=8,"*""ESTRENA HERMOSA CASA EN VENTA EN RESIDENCIAL EL REFUGIO !!","$2,300,000",3,null
