web-scraper-order,web-scraper-start-url,titulo,precio
1618371064-4252,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=8,"Casa NUEVA Venta, 4 recamaras 1 en Planta Baja, Campanario, QUERETARO 26,000,000","$26,000,000"
1618371416-5243,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=37,"Residencia ECOLOGICA, 2niv, 3 rec cada una c/baño, estudio, super cocina, lavado","$2,450,000"
1618371232-4740,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=10,El Mirador casa en fraccionamiento con excelente amenidades y seguridad!,"$2,450,000"
1618370745-3363,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=13,Casa remodelada en Jurica de 3 dormitorios y 445 mts2! RAHH,"$13,500,000"
1618370670-3151,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=33,VENTA CASA ALTOS JURIQUILLA QUERETARO/ TI-D,"$3,650,000"
1618368526-220,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=16,Casa en Cumbres del Lago (22),"$4,900,000"
1618372354-7380,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=27,Casa en venta Juriquilla 4 habitaciones JGCC,"$17,000,000"
1618371852-6387,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=17,Casa en venta en El Refugio # 20-747 JL,"$3,587,200"
1618373027-8347,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=34,"CASA EN VENTA,EN PRIVADA CON ALBERCA, EL REFUGIO, QUERÉTARO","$2,650,000"
1618369381-1171,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en venta Jurica 5 habitaciones JGCC,"$11,350,000"
1618369940-1836,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=7,Hermosa casa de arquitecto en condominio cerrado con Seguridad 24/7  JF,"$3,050,000"
1618370810-3554,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=10,Casa con acabados de lujo en Jurica de 3 dormitorios! RAHH,"$13,500,000"
1618370156-2152,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=7,"CASA EN VENTA EN MILENIO III, 3 REC., 3 BAÑOS, ALBERCA","$3,350,000"
1618368803-627,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=13,"Casa sola en Venta, en Cumbres del Lago, Querétaro","$5,700,000"
1618372691-7868,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=11,Se vende bella casa en juriquilla de 4 recamaras y 6 baños en 1260 mts terreno,"$12,000,000"
1618370563-2858,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=38,Casa en venta Juriquilla 3 habitaciones JGCC,"$19,500,000"
1618370241-2270,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=3,CASA EN VENTA MILENIO III LUCEPOLIS,"$3,900,000"
1618371331-5005,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=2,"CASAS EN VENTA EN SAN ISIDRO JURIQUILLA, ARBOLEDAS III, MODELO MISION, QUERETARO","$1,815,000"
1618372048-6639,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=11,"El Refugio, Exclusivas casas para la venta en privada con acabados de lujo. FVR","$4,100,000"
1618370863-3691,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=24,"Casa NUEVA 3 Recamaras, Cto Servicio, Privada con Seguridad y Alberca $6,012,000","$6,012,000"
1618372354-7378,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=27,Casa en venta Juriquilla 4 habitaciones JGCC,"$17,000,000"
1618370661-3115,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=1,Casa en Venta en Cumbres del Lago,"$6,250,000"
1618371712-6077,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=23,Casa en venta en el refugio AQC,"$2,350,000"
1618373405-8880,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=16,Casa a estrenar en El Refugio de 3 dormitorios y 246 mts2! QH,"$3,600,000"
1618373594-9142,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,Casa en El Refugio de 3 recamaras y 182 mts2! RAHQRO,"$3,190,749"
1618368803-599,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=13,Cumbres del Lago bella casa de 2 niveles con doble altura y listo para firmar!,"$5,728,000"
1618372006-6536,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=13,"CASA EN VENTA 3 RECAMARAS ALBERCA EN PRIVADA EN EL REFUGIO, QUERETARO","$4,200,000"
1618372712-7877,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=10,"Casa para Marzo 2021 en Altos de Juriquilla, zona con mayor plusvalía! RAHQRO","$2,640,000"
1618372137-6891,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=37,"KL/ RESIDENCIA EN VENTA, EXCLUSIVA PRIVADA, JURIQUILLA. QRO.","$16,000,000"
1618370906-3822,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=22,Construyo tu casa en tu terreno,"$960,000"
1618370455-2554,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=43,"Venta de Casa en San Isidro Juriquilla Desde 1,788,700, Queretaro","$1,788,700"
1618371190-4637,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=2,CAMPANARIO PRECIOSA Y MODERNA RESIDENCIA,"$18,500,000"
1618373719-9321,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=1,Casa 4 recamaras a 3 minutos de paseo Querétaro. Dentro del Refugio Qro.,"$3,152,125"
1618373342-8785,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=19,CASA EN VENTA EN EL REFUGIO QUERÉTARO,"$2,600,000"
1618370220-2232,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=4,casa  en  venta en Coto  Blank Haus,"$4,980,000"
1618371550-5648,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=5,Venta Casa Nueva en Privada en Milenio III,"$5,200,000"
1618371337-5036,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=5,VENTA casa en El Mirador de 3 recamaras y Roof Garden!,"$2,400,000"
1618370927-3864,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=21,VENTA CASA EN ALTOS DE JURIQUILLA  3 RECAMARAS 3 BAÑOS,"$3,734,736"
1618372154-6937,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=6,Casa Nueva en Venta en el Refugio,"$3,700,000"
1618368964-773,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=7,Casa en venta Cumbres del Lago 2 habitaciones JGCC,"$2,704,000"
1618370948-3942,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=20,Cascada de las Flores,"$2,350,000"
1618369700-1496,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=8,El Campanario casa a estrenar de 4 recamaras RCS,"$19,990,000"
1618371592-5746,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=3,Se vende casa en milenio con 4 recamaras y 6 baños buena inversion.JPC,"$6,600,000"
1618371337-5044,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=5,Casa de tres niveles en El Mirador de 3 dormitorios y 119 mts2! GOC,"$1,793,706"
1618372817-8025,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=5,"Casa en venta en condominio en Juriquilla, Querétaro","$15,900,000"
1618370768-3412,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=12,VENTA CASA  JURICA QUERETARO/ TI-E,"$6,500,000"
1618372754-7944,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=8,Casa nueva en Privada en VENTA en Juriquilla 3 Rec c/u con Baño más Cuarto de Servici...,"$4,048,000"
1618371612-5817,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=2,Exclusiva casa en venta  de 3 recámaras en Milenio III OFP 18-477,"$2,447,500"
1618372027-6574,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,Venta de Casa con Ubicación Inigualable - El Refugio,"$3,590,000"
1618372115-6854,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=38,"Altos de Juriquilla, Casas para la venta. FVR","$3,498,000"
1618371395-5202,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=38,"20-2054 Casa en hermosa privada de El Refugio, de 147 metros ATC","$2,540,000"
1618371142-4481,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=11,"Venta de Lujosa Casa en Condominio en Altos Juriquilla, Querétaro. 1C254","$6,172,500"
1618372112-6809,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=8,Casa en Venta. Condominio con Amenidades - El Refugio,"$2,300,000"
1618371807-6322,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=19,CASA EN VENTA EN EL REFUGIO,"$1,980,000"
1618370263-2301,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=2,"Preciosa Residencia en Milenio III, Privada, ALberca, ROOF GARDEN, 3 Recamaras","$3,800,000"
1618371676-5996,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=49,Casa en venta con vista la campo de golf de juriquilla 3 recamaras 4 baños,"$13,500,000"
1618369896-1782,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=9,"Casa en Preventa, con Recámara en Planta Baja y Amenidades. El Mirador","$2,450,000"
1618369810-1666,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=3,"CASA EN VENTA EN EL CAMPANARIO, 4 REC., ESTUDIO O 5TA REC., 5 BAÑOS, JARDÍN","$16,950,000"
1618372133-6868,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,Casa en venta El Refugio 3 habitaciones JRH,"$2,350,000"
1618372269-7187,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=31,"Ubicada en lo mejor de Juriquilla amplia y hermosa, casa de 196 mts2! RAHQRO","$3,340,000"
1618371416-5256,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=37,Casa de 2 niveles en El Refugio con 3 dormitorios y 128 mts2! ATC,"$2,471,484"
1618372154-6939,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=6,Casa en zona premium del Refugio de 2 niveles! GOC 19-2128,"$2,120,000"
1618372290-7227,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/casa/for-sale/?page=30,Casa en venta Juriquilla 5 habitaciones JGCC,"$16,500,000"
1618370048-1978,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=2,CASA EN VENTA EL MIRADOR,"$2,400,000"
1618373510-9042,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=11,Refugio vende casa de desarrollo en la zona premium 3 recamaras.,"$2,980,000"
