web-scraper-order,web-scraper-start-url,titulo,precio,recamaras,baños,mconstruidos
1620516789-163,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=3,"RENTA DE DEPARTAMENTO EN CENTRAL PARK, 3 ESTACIONAMIENTOS, 2 BAÑOS, 2 RECÁMARAS","$29,000",2,2,163
1620516912-636,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=8,Departamento Amueblado en Renta en Alegra Towers Juriquilla Santa Fe,"$18,000",1,1,null
1620516857-435,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=1,Negociable departamento sin amueblar de 2 recamaras!,"$12,500",2,2,85
1620516919-660,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=7,Departamento en Renta en PB con gran Jardin,"$15,500",2,2,120
1620516766-74,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=6,LUJOSO DEPARTAMENTO AMUEBLADO Y EQUIPADO DE 162 m2 CON AMPLIA TERRAZA,"$24,000",2,2,162
1620516904-619,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?&page=9,"Hermoso departamento amueblado en Querétaro, Juriquilla","$21,000",2,2,186
1620516880-512,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,"Renta de Amplio departamento con 2 recamara, ubicado en Fraccionamiento Milenio","$14,000",2,2,175
1620516880-526,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?&page=1,PentHouse en renta amoblado con todos los servicios incluidos en Milenio YCC,"$27,000",3,3,246
1620516781-129,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?&page=4,Departamento en renta Centro Sur 2 habitaciones JRH,"$21,000",2,2,87
1620516841-357,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/departamento/for-rent/?&page=3,Céntrico departamento en Renta en El Mirador,"$11,500",1,1,72
